,level_0,index,price,mtq,rooms,bathrooms,cond_fees,condition,year_constr,car,box,autonomous_heating,garden,terrace,balcony,elevator,geometry,crowdlocal,metro,bus,ztl,id_nil,instagram_count,dining_drinking_area1,dining_drinking_area2,dining_drinking_area3,groceries_area1,groceries_area2,groceries_area3,shopping_area1,shopping_area2,shopping_area3,culture_area1,culture_area2,culture_area3,lnprice,priceratio,lnpriceratio,da_ristrutturare,dining,groceries,shopping,culture,final_score,w_priceratio,w_priceratio_std,spatial_out_std,lat,lon,quadrant,significant
0,0,0,100000,85.0,3.0,1.0,150,abitabile,1960,0,0,1,1,0,1,0,POINT (9.124276 45.516456),0.0,0.0,0.0,0.0,74,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.512925464970229,1176.4705882352941,0.13544618194082622,0,9.083026230218946,27.87773683069586,8.519401690873618,36.61391719054845,27.406243225666593,1220.2528053832468,474.3981505199197,-0.09229002495049628,45.516456,9.124276,3,True
1,1,4,70500,73.0,3.0,1.0,,,,0,0,0,0,0,0,0,POINT (9.124276 45.516455),0.0,0.0,0.0,0.0,74,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.16336798880036,965.7534246575342,0.15292284916164878,0,9.083026230218946,27.87773683069586,8.519401690873618,36.61391719054845,27.406243225666593,1234.3006162884308,469.4173672843425,-0.5720861867222483,45.516455,9.124276,3,True
2,2,6,198000,110.0,3.0,2.0,,abitabile,,0,0,1,1,0,1,1,POINT (9.121256000000001 45.517274),0.0,0.0,4.0,0.0,74,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.196022309676673,1800.0,0.11087293008796975,0,8.82289182744418,21.135920225449816,8.519401690873618,22.414914372425756,18.621287665293735,1188.700080751604,461.56709980856414,1.3244009798400576,45.517274,9.121256,3,True
3,4,8,112500,118.0,4.0,1.0,,,,0,0,0,0,0,0,0,POINT (9.132301999999999 45.520949),0.0,0.0,0.0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.630708500626612,953.3898305084746,0.09856532627649671,0,0.8671146759158899,14.805983091263819,8.519401690873618,30.06720138738348,20.8649468892261,1222.5397457409308,371.95562743439376,-0.7236075902089407,45.520949,9.132302,3,True
4,5,9,112500,112.0,3.0,1.0,,abitabile,,0,0,1,0,0,1,1,POINT (9.13241 45.521),0.0,0.0,0.0,0.0,74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.630708500626612,1004.4642857142857,0.10384561161273761,0,2.2328202904834162,14.805983091263819,8.519401690873618,30.06720138738348,20.8649468892261,1219.7022760072746,373.9067717748814,-0.5756461410722391,45.521,9.13241,3,True
5,6,10,71508,115.0,4.0,2.0,,,,0,0,0,0,0,1,0,POINT (9.118703 45.518051),0.0,0.0,5.0,0.0,74,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.17756461053498,621.8086956521739,0.09719621400465199,0,8.82289182744418,14.805983091263819,16.5402124430956,22.414914372425756,19.044006069802734,1479.0814073531014,655.3926753636889,-1.3080291311238896,45.518051,9.118703,3,True
6,7,12,112800,116.0,3.0,1.0,,,,0,1,0,0,0,0,0,POINT (9.11904 45.51794),0.0,0.0,5.0,0.0,74,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.633371618046096,972.4137931034483,0.10028768636246635,0,8.82289182744418,14.805983091263819,16.5402124430956,22.414914372425756,19.044006069802734,1229.5342960561334,563.6824276510396,-0.456144258433157,45.51794,9.11904,3,True
7,8,13,170000,110.0,3.0,2.0,250,abitabile,1982,0,1,1,1,1,1,1,POINT (9.118703 45.518051),0.0,0.0,5.0,0.0,74,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.043553716032399,1545.4545454545455,0.1094868519639309,0,8.82289182744418,14.805983091263819,16.5402124430956,22.414914372425756,19.044006069802734,1479.0814073531014,655.3926753636889,0.10127232206953249,45.518051,9.118703,3,True
8,10,15,180000,90.0,3.0,1.0,192,ristrutturato,1960,1,0,1,1,0,1,1,POINT (9.152537000000001 45.52138),0.0,0.0,2.0,0.0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.100712129872347,2000.0,0.13445235699858163,0,0.8671146759158899,14.805983091263819,8.519401690873618,30.06720138738348,20.8649468892261,2288.846446011937,1096.929522486228,-0.26332270222544185,45.52138,9.152537,3,False
9,12,18,185000,65.0,2.0,1.0,100,ristrutturato,2004,0,1,1,1,0,1,1,POINT (9.162490999999999 45.530199),0.0,1.0,5.0,0.0,82,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.128111104060462,2846.153846153846,0.18658632467785327,0,15.651419900281812,34.33774116626924,8.519401690873618,61.93366572729243,41.68111857793193,1679.606866970239,792.1823759244916,1.4725737590693369,45.530199,9.162491,3,True
