"","id_nil","families"
"1",1,8394
"2",2,9150
"3",4,7453
"4",5,6459
"5",6,9950
"6",7,8449
"7",9,2791
"8",10,8976
"9",11,11375
"10",12,13195
"11",13,7665
"12",14,18568
"13",15,4018
"14",16,15043
"15",17,7521
"16",18,10424
"17",19,18328
"18",20,21907
"19",21,30864
"20",22,18322
"21",23,5828
"22",24,553
"23",25,9717
"24",26,15812
"25",27,8407
"26",28,11393
"27",29,2095
"28",30,9778
"29",31,2249
"30",32,829
"31",33,4894
"32",34,519
"33",35,18044
"34",36,6172
"35",37,3563
"36",38,7122
"37",40,323
"38",41,8623
"39",42,16008
"40",43,6174
"41",44,8665
"42",45,7330
"43",46,8062
"44",48,7379
"45",49,16053
"46",50,7287
"47",51,13672
"48",52,22522
"49",53,6677
"50",54,1381
"51",55,14894
"52",56,12317
"53",57,13521
"54",58,10686
"55",59,944
"56",60,5889
"57",61,4814
"58",62,2325
"59",63,1061
"60",64,2000
"61",65,16672
"62",66,1976
"63",67,4192
"64",68,8340
"65",69,15081
"66",70,8842
"67",71,20355
"68",72,3154
"69",76,15136
"70",77,7566
"71",78,1904
"72",79,11274
"73",80,12023
"74",81,3340
"75",82,4338
"76",83,6215
